fila,campo,valor_original,valor_nuevo,motivo
31,f_02,2,4,inversión: item negativo recodificado
31,f_03,4,2,inversión: item negativo recodificado
31,f_05,2,4,inversión: item negativo recodificado
32,f_01,1,5,inversión: item negativo recodificado
32,f_02,1,5,inversión: item negativo recodificado
32,f_03,1,5,inversión: item negativo recodificado
32,f_05,1,5,inversión: item negativo recodificado
33,f_01,2,4,inversión: item negativo recodificado
33,f_02,2,4,inversión: item negativo recodificado
33,f_03,2,4,inversión: item negativo recodificado
33,f_05,2,4,inversión: item negativo recodificado
34,f_01,4,2,inversión: item negativo recodificado
34,f_02,4,2,inversión: item negativo recodificado
34,f_03,2,4,inversión: item negativo recodificado
34,f_05,2,4,inversión: item negativo recodificado
35,f_01,4,2,inversión: item negativo recodificado
35,f_02,4,2,inversión: item negativo recodificado
35,f_03,4,2,inversión: item negativo recodificado
35,f_05,4,2,inversión: item negativo recodificado
36,f_01,2,4,inversión: item negativo recodificado
36,f_02,2,4,inversión: item negativo recodificado
36,f_03,2,4,inversión: item negativo recodificado
36,f_05,2,4,inversión: item negativo recodificado
37,edad,Masculino,,"columna desplazada: Edad vacía, sexo en columna edad"
37,f_01,1,5,inversión: item negativo recodificado
37,f_02,1,5,inversión: item negativo recodificado
37,f_03,1,5,inversión: item negativo recodificado
37,f_05,1,5,inversión: item negativo recodificado
38,f_01,2,4,inversión: item negativo recodificado
38,f_02,2,4,inversión: item negativo recodificado
38,f_03,2,4,inversión: item negativo recodificado
38,f_05,4,2,inversión: item negativo recodificado
39,f_01,5,1,inversión: item negativo recodificado
39,f_02,1,5,inversión: item negativo recodificado
39,f_03,1,5,inversión: item negativo recodificado
39,f_05,1,5,inversión: item negativo recodificado
40,f_01,1,5,inversión: item negativo recodificado
40,f_02,2,4,inversión: item negativo recodificado
40,f_03,1,5,inversión: item negativo recodificado
40,f_05,1,5,inversión: item negativo recodificado
41,f_01,4,2,inversión: item negativo recodificado
41,f_02,4,2,inversión: item negativo recodificado
41,f_03,4,2,inversión: item negativo recodificado
41,f_05,2,4,inversión: item negativo recodificado
42,f_01,1,5,inversión: item negativo recodificado
42,f_02,1,5,inversión: item negativo recodificado
42,f_03,2,4,inversión: item negativo recodificado
42,f_05,1,5,inversión: item negativo recodificado
43,f_01,4,2,inversión: item negativo recodificado
43,f_02,5,1,inversión: item negativo recodificado
43,f_03,4,2,inversión: item negativo recodificado
43,f_05,5,1,inversión: item negativo recodificado
44,f_01,2,4,inversión: item negativo recodificado
44,f_02,2,4,inversión: item negativo recodificado
44,f_03,4,2,inversión: item negativo recodificado
44,f_05,2,4,inversión: item negativo recodificado
45,f_01,1,5,inversión: item negativo recodificado
45,f_02,1,5,inversión: item negativo recodificado
45,f_03,1,5,inversión: item negativo recodificado
45,f_05,1,5,inversión: item negativo recodificado
46,f_01,2,4,inversión: item negativo recodificado
46,f_02,2,4,inversión: item negativo recodificado
46,f_03,2,4,inversión: item negativo recodificado
46,f_05,2,4,inversión: item negativo recodificado
47,f_01,4,2,inversión: item negativo recodificado
47,f_02,4,2,inversión: item negativo recodificado
47,f_03,2,4,inversión: item negativo recodificado
47,f_05,2,4,inversión: item negativo recodificado
48,f_01,4,2,inversión: item negativo recodificado
48,f_02,4,2,inversión: item negativo recodificado
48,f_03,4,2,inversión: item negativo recodificado
48,f_05,4,2,inversión: item negativo recodificado
49,f_01,2,4,inversión: item negativo recodificado
49,f_02,2,4,inversión: item negativo recodificado
49,f_03,2,4,inversión: item negativo recodificado
49,f_05,2,4,inversión: item negativo recodificado
50,edad,Masculino,,"columna desplazada: Edad vacía, sexo en columna edad"
50,f_01,1,5,inversión: item negativo recodificado
50,f_02,1,5,inversión: item negativo recodificado
50,f_03,1,5,inversión: item negativo recodificado
50,f_05,1,5,inversión: item negativo recodificado
51,f_01,2,4,inversión: item negativo recodificado
51,f_02,2,4,inversión: item negativo recodificado
51,f_03,2,4,inversión: item negativo recodificado
51,f_05,4,2,inversión: item negativo recodificado
52,f_01,5,1,inversión: item negativo recodificado
52,f_02,1,5,inversión: item negativo recodificado
52,f_03,1,5,inversión: item negativo recodificado
52,f_05,1,5,inversión: item negativo recodificado
53,f_01,1,5,inversión: item negativo recodificado
53,f_02,2,4,inversión: item negativo recodificado
53,f_03,1,5,inversión: item negativo recodificado
53,f_05,1,5,inversión: item negativo recodificado
54,f_01,4,2,inversión: item negativo recodificado
54,f_02,4,2,inversión: item negativo recodificado
54,f_03,4,2,inversión: item negativo recodificado
54,f_05,2,4,inversión: item negativo recodificado
55,f_01,1,5,inversión: item negativo recodificado
55,f_02,1,5,inversión: item negativo recodificado
55,f_03,2,4,inversión: item negativo recodificado
55,f_05,1,5,inversión: item negativo recodificado
56,f_01,4,2,inversión: item negativo recodificado
56,f_02,5,1,inversión: item negativo recodificado
56,f_03,4,2,inversión: item negativo recodificado
56,f_05,5,1,inversión: item negativo recodificado
57,f_01,2,4,inversión: item negativo recodificado
57,f_02,2,4,inversión: item negativo recodificado
57,f_03,4,2,inversión: item negativo recodificado
57,f_05,2,4,inversión: item negativo recodificado
58,f_01,1,5,inversión: item negativo recodificado
58,f_02,1,5,inversión: item negativo recodificado
58,f_03,1,5,inversión: item negativo recodificado
58,f_05,1,5,inversión: item negativo recodificado
59,f_01,2,4,inversión: item negativo recodificado
59,f_02,2,4,inversión: item negativo recodificado
59,f_03,2,4,inversión: item negativo recodificado
59,f_05,2,4,inversión: item negativo recodificado
60,f_01,4,2,inversión: item negativo recodificado
60,f_02,4,2,inversión: item negativo recodificado
60,f_03,2,4,inversión: item negativo recodificado
60,f_05,2,4,inversión: item negativo recodificado
61,f_01,4,2,inversión: item negativo recodificado
61,f_02,4,2,inversión: item negativo recodificado
61,f_03,4,2,inversión: item negativo recodificado
61,f_05,4,2,inversión: item negativo recodificado
62,f_01,2,4,inversión: item negativo recodificado
62,f_02,2,4,inversión: item negativo recodificado
62,f_03,2,4,inversión: item negativo recodificado
62,f_05,2,4,inversión: item negativo recodificado
63,edad,Masculino,,"columna desplazada: Edad vacía, sexo en columna edad"
63,f_01,1,5,inversión: item negativo recodificado
63,f_02,1,5,inversión: item negativo recodificado
63,f_03,1,5,inversión: item negativo recodificado
63,f_05,1,5,inversión: item negativo recodificado
64,f_01,2,4,inversión: item negativo recodificado
64,f_02,2,4,inversión: item negativo recodificado
64,f_03,2,4,inversión: item negativo recodificado
64,f_05,4,2,inversión: item negativo recodificado
65,f_01,5,1,inversión: item negativo recodificado
65,f_02,1,5,inversión: item negativo recodificado
65,f_03,1,5,inversión: item negativo recodificado
65,f_05,1,5,inversión: item negativo recodificado
66,f_01,1,5,inversión: item negativo recodificado
66,f_02,2,4,inversión: item negativo recodificado
66,f_03,1,5,inversión: item negativo recodificado
66,f_05,1,5,inversión: item negativo recodificado
67,f_01,4,2,inversión: item negativo recodificado
67,f_02,4,2,inversión: item negativo recodificado
67,f_03,4,2,inversión: item negativo recodificado
67,f_05,2,4,inversión: item negativo recodificado
68,f_01,1,5,inversión: item negativo recodificado
68,f_02,1,5,inversión: item negativo recodificado
68,f_03,2,4,inversión: item negativo recodificado
68,f_05,1,5,inversión: item negativo recodificado
69,f_01,4,2,inversión: item negativo recodificado
69,f_02,5,1,inversión: item negativo recodificado
69,f_03,4,2,inversión: item negativo recodificado
69,f_05,5,1,inversión: item negativo recodificado
70,f_01,2,4,inversión: item negativo recodificado
70,f_02,2,4,inversión: item negativo recodificado
