nivel_educativo;nivel_agrupado;nombre_escuela;tipo_escuela;sexo;edad;grado;fecha_aplicacion;a_convivencia;b_vivienda;c_negocio_familiar;p01_has_escuchado_educacion_financiera;p02_conoces_significado_educacion_financiera;p03_te_gustaria_aprender_educacion_financiera;p04_consideras_importante_educacion_financiera;p05_definicion_educacion_financiera;p06_conoces_significado_ahorro;p07_tienes_cuenta_ahorro;p08_constante_responsable_ahorrar;p09_opinion_credito_banco_caja;p10_conoces_que_es_credito;p11_conoces_que_es_presupuesto;p12_conoces_tasa_interes;p13_comprendes_que_es_inversion;p14_entendes_inflacion;p15_entendes_devaluacion_dinero;p16_diferencias_tarjeta_credito_debito;p17_ahorras_fuera_instituciones;p18_como_gustarian_clases;p18_categoria
Secundaria;Secundaria;Efran Gonzlez Luna;Pública;Hombre;14;3;19/3/2025;Padres;Propia;Sí;4;5;5;5;b) Habilidades y conocimientos para el dinero;5;Sí;4;4;4;4;3;5;5;5;5;Sí;Explicacin, estrategias y actividades;Explicaciones claras
Secundaria;Secundaria;Efran Gonzlez Luna;Pública;Hombre;14;3;19/3/2025;Padres;Propia;No;1;1;3;5;a) Estrategias para manejo de finanzas personales;5;Sí;4;4;3;3;3;4;3;3;5;Sí;Sin comentarios;Otro
Secundaria;Secundaria;Efran Gonzlez Luna;Pública;Mujer;14;3;19/3/2025;Padres;Propia;Sí;1;3;3;4;a) Estrategias para manejo de finanzas personales;5;Sí;3;4;5;4;1;5;3;1;4;Sí;Exposiciones, ejemplos y practicas;Con practica
Secundaria;Secundaria;Efran Gonzlez Luna;Pública;Hombre;15;3;19/3/2025;Padres;Propia;Sí;1;1;3;4;a) Estrategias para manejo de finanzas personales;5;Sí;1;4;4;4;1;5;3;1;4;Sí;Exposiciones, ejemplos y practicas;Con practica
Secundaria;Secundaria;Efran Gonzlez Luna;Pública;Hombre;14;3;19/3/2025;Padres;Rentada;Sí;1;1;3;4;a) Estrategias para manejo de finanzas personales;5;No;1;4;4;4;1;5;3;1;4;Sí;Divertidas, entretenidas e interesantes;Interactivas
Secundaria;Secundaria;Efran Gonzlez Luna;Pública;Hombre;14;3;19/3/2025;Otro familiar;Propia;No;3;3;4;5;b) Habilidades y conocimientos para el dinero;5;No;4;4;5;5;4;5;5;3;4;Sí;Videos y clases interactivas;Interactivas
Secundaria;Secundaria;Efran Gonzlez Luna;Pública;Mujer;14;3;19/3/2025;Uno de ellos;Prestada;No;3;2;2;4;a) Estrategias para manejo de finanzas personales;4;Sí;3;4;3;3;3;4;2;2;3;Sí;Expertos en el tema, dinmicas y simulaciones;Con expertos
Secundaria;Secundaria;Efran Gonzlez Luna;Pública;Mujer;14;3;19/3/2025;Padres;Propia;Sí;4;5;5;5;a) Estrategias para manejo de finanzas personales;5;Sí;4;5;5;5;5;5;5;5;4;Sí;Explicacin, estrategias y actividades;Explicaciones claras
Secundaria;Secundaria;Efran Gonzlez Luna;Pública;Hombre;14;3;19/3/2025;Padres;Propia;Sí;3;2;5;5;d) No sé;5;No;5;4;5;5;1;5;1;1;3;Sí;Explicacin, estrategias y actividades;Explicaciones claras
Secundaria;Secundaria;Efran Gonzlez Luna;Pública;Hombre;14;3;19/3/2025;Padres;Propia;Sí;3;3;2;5;b) Habilidades y conocimientos para el dinero;5;Sí;5;1;5;5;5;5;3;2;5;Sí;Explicacin, estrategias y actividades;Explicaciones claras
