nivel_educativo;nivel_agrupado;nombre_escuela;tipo_escuela;sexo;edad;grado;fecha_aplicacion;a_convivencia;b_vivienda;c_negocio_familiar;p01_has_escuchado_educacion_financiera;p02_conoces_significado_educacion_financiera;p03_te_gustaria_aprender_educacion_financiera;p04_consideras_importante_educacion_financiera;p05_definicion_educacion_financiera;p06_conoces_significado_ahorro;p07_tienes_cuenta_ahorro;p08_constante_responsable_ahorrar;p09_opinion_credito_banco_caja;p10_conoces_que_es_credito;p11_conoces_que_es_presupuesto;p12_conoces_tasa_interes;p13_comprendes_que_es_inversion;p14_entendes_inflacion;p15_entendes_devaluacion_dinero;p16_diferencias_tarjeta_credito_debito;p17_ahorras_fuera_instituciones;p18_como_gustarian_clases;p18_categoria
Secundaria;Secundaria;Efran Gonzlez Luna;Pública;Hombre;15;3;19/3/2025;Padres;Propia;Sí;3;4;5;5;a) Estrategias para manejo de finanzas personales;4;Sí;5;4;3;4;3;5;2;2;3;Sí;Explicacin, estrategias y actividades;Explicaciones claras
Secundaria;Secundaria;Efran Gonzlez Luna;Pública;Hombre;14;3;19/3/2025;Padres;Propia;Sí;2;3;5;4;b) Habilidades y conocimientos para el dinero;4;Sí;3;2;2;3;1;4;3;2;1;Sí;Videos y clases interactivas;Interactivas
Secundaria;Secundaria;Efran Gonzlez Luna;Pública;Hombre;15;3;19/3/2025;Padres;Propia;No;3;3;5;5;a) Estrategias para manejo de finanzas personales;5;Sí;2;4;5;5;3;2;3;1;5;No;Trabajos en equipo;En equipo
Secundaria;Secundaria;Efran Gonzlez Luna;Pública;Hombre;16;3;19/3/2025;Uno de ellos;Propia;No;3;3;2;4;d) No sé;5;Sí;4;2;5;4;2;5;2;2;3;Sí;Divertidas, entretenidas e interesantes;Interactivas
Secundaria;Secundaria;Instituto Autlense;Privada;Mujer;13;2;7/3/2025;Padres;Propia;Sí;3;2;5;5;a) Estrategias para manejo de finanzas personales;3;Sí;2;4;3;4;4;4;3;1;1;Sí;Divertidas, entretenidas e interesantes;Interactivas
Secundaria;Secundaria;Instituto Autlense;Privada;Hombre;14;2;7/3/2025;Uno de ellos;Propia;No;3;2;3;4;a) Estrategias para manejo de finanzas personales;5;Sí;3;5;4;5;4;3;4;2;5;Sí;Expertos en el tema, dinmicas y simulaciones;Con expertos
Secundaria;Secundaria;Instituto Autlense;Privada;Mujer;13;2;7/3/2025;Uno de ellos;Propia;No;3;1;5;5;a) Estrategias para manejo de finanzas personales;5;Sí;3;4;3;4;1;3;3;4;2;Sí;Divertidas, entretenidas e interesantes;Interactivas
Secundaria;Secundaria;Instituto Autlense;Privada;Mujer;13;2;7/3/2025;Padres;Propia;Sí;4;3;4;5;a) Estrategias para manejo de finanzas personales;4;No;4;4;3;4;4;4;3;4;2;Sí;Videos y clases interactivas;Interactivas
Secundaria;Secundaria;Instituto Autlense;Privada;Hombre;14;2;7/3/2025;Padres;Propia;No;2;3;4;5;a) Estrategias para manejo de finanzas personales;5;Sí;4;3;2;4;2;4;5;5;4;Sí;Divertidas, entretenidas e interesantes;Interactivas
Secundaria;Secundaria;Instituto Autlense;Privada;Mujer;13;2;7/3/2025;Uno de ellos;Propia;Sí;1;2;4;4;a) Estrategias para manejo de finanzas personales;5;No;3;5;5;5;2;5;2;4;5;Sí;Exposiciones, ejemplos y practicas;Con practica
Secundaria;Secundaria;Instituto Autlense;Privada;Hombre;13;2;7/3/2025;Padres;Propia;Sí;1;1;3;3;b) Habilidades y conocimientos para el dinero;5;No;4;4;3;5;4;4;5;4;5;Sí;Videos y clases interactivas;Interactivas
Secundaria;Secundaria;Instituto Autlense;Privada;Hombre;13;2;7/3/2025;Padres;Propia;Sí;1;1;3;5;b) Habilidades y conocimientos para el dinero;5;Sí;4;3;5;5;5;5;5;5;1;Sí;Explicacin, estrategias y actividades;Explicaciones claras
Secundaria;Secundaria;Instituto Autlense;Privada;Hombre;13;2;7/3/2025;Padres;Propia;No;3;2;5;5;a) Estrategias para manejo de finanzas personales;5;No;3;4;5;5;4;5;4;4;4;Sí;Exposiciones, ejemplos y practicas;Con practica
Secundaria;Secundaria;Instituto Autlense;Privada;Hombre;13;2;7/3/2025;Padres;Propia;No;3;2;5;4;b) Habilidades y conocimientos para el dinero;4;Sí;3;3;3;4;2;3;3;2;4;Sí;Expertos en el tema, dinmicas y simulaciones;Con expertos
Secundaria;Secundaria;Instituto Autlense;Privada;Hombre;14;2;7/3/2025;Padres;Propia;Sí;2;1;3;5;b) Habilidades y conocimientos para el dinero;4;Sí;3;3;1;4;1;1;3;2;4;Sí;Trabajos en equipo;En equipo
Secundaria;Secundaria;Instituto Autlense;Privada;Hombre;13;2;7/3/2025;Padres;Propia;No;3;2;5;5;b) Habilidades y conocimientos para el dinero;4;No;1;3;5;5;2;5;2;1;1;Sí;Explicacin, estrategias y actividades;Explicaciones claras
Secundaria;Secundaria;Instituto Autlense;Privada;Hombre;13;2;7/3/2025;Padres;Propia;No;3;3;4;5;b) Habilidades y conocimientos para el dinero;5;No;4;3;5;4;3;4;4;5;5;Sí;Exposiciones, ejemplos y practicas;Con practica
Secundaria;Secundaria;Instituto Autlense;Privada;Mujer;13;2;7/3/2025;Uno de ellos;Propia;Sí;4;3;3;5;a) Estrategias para manejo de finanzas personales;4;No;3;3;4;5;3;4;3;4;5;No;Exposiciones, ejemplos y practicas;Con practica
Secundaria;Secundaria;Instituto Autlense;Privada;Hombre;14;2;7/3/2025;Padres;Propia;Sí;4;4;5;5;b) Habilidades y conocimientos para el dinero;5;Sí;5;4;5;4;5;5;5;5;5;Sí;Explicacin, estrategias y actividades;Explicaciones claras
Secundaria;Secundaria;Instituto Autlense;Privada;Hombre;13;2;7/3/2025;Padres;Rentada;Sí;2;2;5;4;a) Estrategias para manejo de finanzas personales;4;Sí;1;3;4;3;2;2;4;3;1;Sí;Exposiciones, ejemplos y practicas;Con practica
Secundaria;Secundaria;Instituto Autlense;Privada;Hombre;13;2;7/3/2025;Padres;Propia;Sí;1;1;3;5;b) Habilidades y conocimientos para el dinero;5;Sí;4;2;5;3;3;4;4;2;3;Sí;Explicacin, estrategias y actividades;Explicaciones claras
Secundaria;Secundaria;Instituto Autlense;Privada;Hombre;13;2;7/3/2025;Padres;Propia;No;1;3;3;4;a) Estrategias para manejo de finanzas personales;5;Sí;3;3;4;3;2;4;5;4;3;Sí;Expertos en el tema, dinmicas y simulaciones;Con expertos
Secundaria;Secundaria;Instituto Autlense;Privada;Hombre;13;2;7/3/2025;Padres;Propia;Sí;3;4;5;5;b) Habilidades y conocimientos para el dinero;4;No;3;5;4;4;2;4;3;2;2;Sí;Exposiciones, ejemplos y practicas;Con practica
Secundaria;Secundaria;Instituto Autlense;Privada;Mujer;13;2;7/3/2025;Padres;Propia;Sí;4;3;5;5;a) Estrategias para manejo de finanzas personales;5;Sí;3;2;5;5;1;4;2;1;3;Sí;Explicacin, estrategias y actividades;Explicaciones claras
Secundaria;Secundaria;Instituto Autlense;Privada;Hombre;13;2;7/3/2025;Padres;Propia;Sí;2;1;5;5;b) Habilidades y conocimientos para el dinero;5;Sí;4;4;2;5;2;4;5;4;3;Sí;Explicacin, estrategias y actividades;Explicaciones claras
Secundaria;Secundaria;Instituto Autlense;Privada;Mujer;14;2;7/3/2025;Uno de ellos;Propia;No;3;2;5;5;a) Estrategias para manejo de finanzas personales;5;Sí;4;5;4;5;4;5;5;4;5;Sí;Divertidas, entretenidas e interesantes;Interactivas
Secundaria;Secundaria;Instituto Autlense;Privada;Mujer;14;2;7/3/2025;Padres;Propia;Sí;2;2;4;4;a) Estrategias para manejo de finanzas personales;5;Sí;3;5;4;5;3;4;4;3;3;Sí;Explicacin, estrategias y actividades;Explicaciones claras
Secundaria;Secundaria;J. Jess Velzquez Gmez;Pública;Hombre;15;3;19/3/2025;Padres;Propia;Sí;3;3;4;4;a) Estrategias para manejo de finanzas personales;4;Sí;3;3;4;4;1;3;4;2;1;Sí;Explicacin, estrategias y actividades;Explicaciones claras
Secundaria;Secundaria;J. Jess Velzquez Gmez;Pública;Mujer;14;3;19/3/2025;Padres;Propia;Sí;1;2;4;4;b) Habilidades y conocimientos para el dinero;5;Sí;2;4;2;1;1;3;3;1;3;Sí;Explicacin, estrategias y actividades;Explicaciones claras
Secundaria;Secundaria;J. Jess Velzquez Gmez;Pública;Hombre;14;3;19/3/2025;Padres;Propia;Sí;1;1;1;1;a) Estrategias para manejo de finanzas personales;5;Sí;4;5;5;5;5;5;5;5;5;Sí;Explicacin, estrategias y actividades;Explicaciones claras
Secundaria;Secundaria;J. Jess Velzquez Gmez;Pública;Mujer;15;3;19/3/2025;Padres;Rentada;No;1;1;1;1;a) Estrategias para manejo de finanzas personales;1;No;1;1;1;5;2;5;5;3;2;Sí;No se;Otro
Secundaria;Secundaria;J. Jess Velzquez Gmez;Pública;Mujer;14;3;19/3/2025;Padres;Propia;No;1;1;4;3;b) Habilidades y conocimientos para el dinero;2;Sí;1;3;4;2;1;4;1;1;1;Sí;Videos y clases interactivas;Interactivas
Secundaria;Secundaria;J. Jess Velzquez Gmez;Pública;Mujer;14;3;19/3/2025;Uno de ellos;Propia;Sí;4;4;5;5;a) Estrategias para manejo de finanzas personales;4;Sí;3;5;3;4;3;2;1;2;3;Sí;Trabajos en equipo;En equipo
Secundaria;Secundaria;J. Jess Velzquez Gmez;Pública;Mujer;14;3;19/3/2025;Padres;Propia;Sí;5;4;4;5;a) Estrategias para manejo de finanzas personales;5;Sí;5;4;5;5;4;5;5;5;5;Sí;Videos y clases interactivas;Interactivas
Secundaria;Secundaria;J. Jess Velzquez Gmez;Pública;Hombre;14;3;19/3/2025;Padres;Propia;Sí;4;3;5;5;a) Estrategias para manejo de finanzas personales;4;Sí;3;4;4;5;4;4;4;4;4;Sí;Explicacin, estrategias y actividades;Explicaciones claras
Secundaria;Secundaria;J. Jess Velzquez Gmez;Pública;Hombre;15;3;19/3/2025;Padres;Propia;Sí;1;1;5;5;a) Estrategias para manejo de finanzas personales;5;Sí;5;1;3;3;5;4;3;4;1;Sí;Ganar dinero;Otro
Secundaria;Secundaria;J. Jess Velzquez Gmez;Pública;Mujer;14;3;19/3/2025;Padres;Propia;No;1;2;4;5;a) Estrategias para manejo de finanzas personales;5;Sí;2;4;2;5;3;5;4;5;3;Sí;Talleres, cursos y tutoriales;Con expertos
Secundaria;Secundaria;J. Jess Velzquez Gmez;Pública;Mujer;14;3;19/3/2025;Padres;Propia;Sí;1;2;3;4;a) Estrategias para manejo de finanzas personales;5;Sí;3;2;5;5;2;2;1;2;1;Sí;Exposiciones, ejemplos y practicas;Con practica
Secundaria;Secundaria;J. Jess Velzquez Gmez;Pública;Mujer;14;3;19/3/2025;Padres;Propia;Sí;5;3;4;5;a) Estrategias para manejo de finanzas personales;4;No;3;3;3;5;1;4;4;4;5;Sí;Divertidas, entretenidas e interesantes;Interactivas
Secundaria;Secundaria;J. Jess Velzquez Gmez;Pública;Mujer;15;3;19/3/2025;Padres;Propia;Sí;3;3;3;5;a) Estrategias para manejo de finanzas personales;4;Sí;1;3;3;5;1;5;3;2;2;Sí;Videos y clases interactivas;Interactivas
Secundaria;Secundaria;J. Jess Velzquez Gmez;Pública;Hombre;14;3;19/3/2025;Uno de ellos;Propia;Sí;3;4;5;5;a) Estrategias para manejo de finanzas personales;4;Sí;2;3;4;4;3;4;5;5;2;Sí;Videos y clases interactivas;Interactivas
Secundaria;Secundaria;J. Jess Velzquez Gmez;Pública;Mujer;14;3;19/3/2025;Padres;Propia;No;1;1;2;3;a) Estrategias para manejo de finanzas personales;3;Sí;1;2;2;1;1;4;1;1;3;Sí;Trabajos en equipo;En equipo
Secundaria;Secundaria;J. Jess Velzquez Gmez;Pública;Hombre;15;3;19/3/2025;Padres;Propia;No;2;2;5;5;a) Estrategias para manejo de finanzas personales;5;Sí;5;3;4;5;4;5;4;4;4;Sí;Explicacin, estrategias y actividades;Explicaciones claras
Secundaria;Secundaria;J. Jess Velzquez Gmez;Pública;Mujer;14;3;19/3/2025;Padres;Propia;No;4;3;5;5;b) Habilidades y conocimientos para el dinero;5;No;5;5;5;3;2;3;2;3;2;Sí;Explicacin, estrategias y actividades;Explicaciones claras
Secundaria;Secundaria;J. Jess Velzquez Gmez;Pública;Hombre;15;3;19/3/2025;Uno de ellos;Rentada;Sí;3;4;3;4;a) Estrategias para manejo de finanzas personales;5;Sí;3;5;3;5;2;4;5;5;2;Sí;Videos y clases interactivas;Interactivas
Secundaria;Secundaria;J. Jess Velzquez Gmez;Pública;Hombre;14;3;19/3/2025;Padres;Propia;Sí;3;2;1;1;a) Estrategias para manejo de finanzas personales;1;No;5;2;1;2;3;2;2;2;4;No;Divertidas, entretenidas e interesantes;Interactivas
Secundaria;Secundaria;J. Jess Velzquez Gmez;Pública;Hombre;15;3;19/3/2025;Padres;Propia;Sí;2;2;5;5;a) Estrategias para manejo de finanzas personales;5;Sí;5;4;3;5;5;4;5;5;5;Sí;Talleres, cursos y tutoriales;Con expertos
Secundaria;Secundaria;J. Jess Velzquez Gmez;Pública;Mujer;14;3;19/3/2025;Padres;Prestada;Sí;2;2;5;5;b) Habilidades y conocimientos para el dinero;3;Sí;3;5;4;5;3;2;2;1;5;Sí;Explicacin, estrategias y actividades;Explicaciones claras
Secundaria;Secundaria;J. Jess Velzquez Gmez;Pública;Hombre;14;3;19/3/2025;Padres;Propia;Sí;5;5;5;5;a) Estrategias para manejo de finanzas personales;5;Sí;4;3;4;5;2;5;4;4;2;No;Explicacin, estrategias y actividades;Explicaciones claras
Secundaria;Secundaria;J. Jess Velzquez Gmez;Pública;Hombre;14;3;19/3/2025;Padres;Rentada;Sí;3;2;4;3;a) Estrategias para manejo de finanzas personales;4;Sí;3;2;3;4;4;4;4;4;3;Sí;Exposiciones, ejemplos y practicas;Con practica
Secundaria;Secundaria;J. Jess Velzquez Gmez;Pública;Mujer;15;3;19/3/2025;Uno de ellos;Rentada;No;2;2;2;5;d) No sé;3;Sí;3;3;3;2;1;3;3;2;2;Sí;No se;Otro
Secundaria;Secundaria;J. Jess Velzquez Gmez;Pública;Hombre;15;3;19/3/2025;Padres;Propia;Sí;3;4;5;5;a) Estrategias para manejo de finanzas personales;5;Sí;4;3;4;5;4;4;4;4;4;Sí;Expertos en el tema, dinmicas y simulaciones;Con expertos
Secundaria;Secundaria;J. Jess Velzquez Gmez;Pública;Hombre;15;3;19/3/2025;Padres;Propia;Sí;3;3;5;5;d) No sé;4;Sí;4;3;3;5;3;5;3;2;3;No;Expertos en el tema, dinmicas y simulaciones;Con expertos
Secundaria;Secundaria;J. Jess Velzquez Gmez;Pública;Mujer;14;3;19/3/2025;Padres;Propia;No;3;2;5;5;d) No sé;5;No;4;5;3;5;3;5;4;2;5;Sí;Sin comentarios;Otro
Secundaria;Secundaria;J. Jess Velzquez Gmez;Pública;Hombre;14;3;19/3/2025;Padres;Rentada;Sí;4;3;5;5;b) Habilidades y conocimientos para el dinero;4;No;4;2;3;3;4;5;3;3;1;Sí;Sin comentarios;Otro
Secundaria;Secundaria;J. Jess Velzquez Gmez;Pública;Hombre;15;3;19/3/2025;Uno de ellos;Propia;Sí;5;4;5;5;a) Estrategias para manejo de finanzas personales;5;Sí;5;3;5;5;4;5;4;4;5;Sí;Explicacin, estrategias y actividades;Explicaciones claras
Secundaria;Secundaria;J. Jess Velzquez Gmez;Pública;Hombre;14;3;19/3/2025;Uno de ellos;Propia;Sí;4;5;5;5;a) Estrategias para manejo de finanzas personales;5;Sí;4;4;5;5;5;5;5;5;5;Sí;Expertos en el tema, dinmicas y simulaciones;Con expertos
Secundaria;Secundaria;J. Jess Velzquez Gmez;Pública;Hombre;14;3;19/3/2025;Padres;Propia;Sí;3;3;4;5;b) Habilidades y conocimientos para el dinero;5;Sí;3;4;3;5;2;5;1;1;4;Sí;Exposiciones y practicas;Con practica
Secundaria;Secundaria;Jaime Llamas Garca;Pública;Mujer;14;2;10/4/2025;Padres;Rentada;No;1;1;5;5;b) Habilidades y conocimientos para el dinero;5;Sí;1;4;1;1;1;1;1;1;5;No;Divertidas, entretenidas e interesantes;Interactivas
Secundaria;Secundaria;Jaime Llamas Garca;Pública;Mujer;13;2;10/4/2025;Padres;Rentada;Sí;5;1;5;4;b) Habilidades y conocimientos para el dinero;5;Sí;5;5;5;5;1;5;1;1;5;Sí;Explicacin, estrategias y actividades;Explicaciones claras
Secundaria;Secundaria;Jaime Llamas Garca;Pública;Mujer;14;2;10/4/2025;Otro familiar;Propia;No;3;3;4;4;a) Estrategias para manejo de finanzas personales;3;No;3;4;2;4;1;3;1;2;1;Sí;Divertidas, entretenidas e interesantes;Interactivas
Secundaria;Secundaria;Jaime Llamas Garca;Pública;Mujer;13;2;10/4/2025;Uno de ellos;Rentada;Sí;1;1;3;3;b) Habilidades y conocimientos para el dinero;5;Sí;2;4;5;2;2;5;1;2;3;No;Divertidas, entretenidas e interesantes;Interactivas
Secundaria;Secundaria;Jaime Llamas Garca;Pública;Hombre;13;2;10/4/2025;Uno de ellos;Propia;Sí;1;1;3;5;a) Estrategias para manejo de finanzas personales;5;No;1;5;1;5;1;2;5;5;4;Sí;Explicacin, estrategias y actividades;Explicaciones claras
Secundaria;Secundaria;Jaime Llamas Garca;Pública;Hombre;13;2;10/4/2025;Padres;Propia;No;3;1;5;5;a) Estrategias para manejo de finanzas personales;3;No;3;1;1;4;1;3;4;3;1;Sí;Expertos en el tema, dinmicas y simulaciones;Con expertos
Secundaria;Secundaria;Jaime Llamas Garca;Pública;Hombre;13;2;10/4/2025;Padres;Rentada;Sí;5;4;5;5;a) Estrategias para manejo de finanzas personales;5;Sí;5;5;5;5;5;5;5;5;5;Sí;Explicacin, estrategias y actividades;Explicaciones claras
Secundaria;Secundaria;Jaime Llamas Garca;Pública;Mujer;13;2;10/4/2025;Padres;Propia;No;1;1;5;1;d) No sé;5;No;3;4;3;2;3;2;2;2;2;No;No se;Otro
Secundaria;Secundaria;Jaime Llamas Garca;Pública;Hombre;13;2;10/4/2025;Uno de ellos;Rentada;Sí;5;5;4;3;a) Estrategias para manejo de finanzas personales;5;Sí;3;3;5;5;5;5;5;5;5;Sí;Trabajos en equipo;En equipo
